3.4623659625,7.8024692815,0
3.0286710768,4.3894997524,0
3.5847408770,7.2902198027,0
6.0182599386,8.6308552095,1
7.9032736051,7.5344376437,1
4.5083277477,5.6316371782,0
6.1106664537,9.6511425885,1
7.5024745567,4.6554013541,1
7.6098786702,8.7420569719,1
8.4432819961,4.3533393311,1
9.5861555071,3.8225278058,0
7.5013658390,3.0603263234,0
8.2307053374,7.6481963302,1
6.9364588760,9.7718691962,1
3.9538339144,7.6036810851,0
5.3971052149,8.9207350138,1
6.9070144063,5.2740469730,1
6.7946855477,4.6678574107,0
7.0661509555,9.2927137894,1
7.6978783727,4.7575963650,1
6.7372027546,4.2838438320,0
8.9676775751,6.5799365927,1
5.0534788290,4.8855811528,0
3.4212060978,4.4209528599,0
7.7924091455,6.8972359993,1
6.2271013670,6.9954457954,1
8.0190180751,4.4821628932,1
9.3114388797,3.8800670337,0
6.1830206023,5.0256107892,0
3.8785803797,6.4995680955,0
6.1379289447,7.2807887313,1
8.5404519394,5.7051983976,1
5.2107979732,6.3127623769,0
5.2045404768,6.9432860120,1
4.0236893735,7.1167748022,0
5.4635105554,5.2213885881,0
3.3915500109,9.8869435742,0
6.4176988875,8.0908060587,1
7.4789252959,4.1573415228,0
3.4183640026,7.5237720336,0
8.3902393662,5.6308046216,1
5.1547720269,4.6856290263,0
9.4443367769,6.5568921606,1
8.2368753757,4.0618255160,0
5.1047751771,4.5822701458,0
6.2222675761,5.2060991948,0
7.7193034926,7.0458200002,1
9.7771599280,8.6727822330,1
6.2073063797,9.6768824124,1
9.1564974498,8.8696292545,1
7.9944817941,7.4163119350,1
9.9272526929,6.0999030998,1
9.0546714114,4.3390601807,1
3.4524513853,6.0396342458,0
5.0286496119,4.9804538813,0
4.9586677216,5.9808950995,0
9.7645633960,6.8861572724,1
3.2577200168,9.5598547614,0
7.4248691367,6.9824571227,1
7.1796462059,7.8453562245,1
7.5395611466,8.5759936673,1
3.5286112815,4.7020513947,0
5.6253817497,3.9261472511,0
3.0058822447,4.9592973867,0
4.4668261725,6.6450086146,0
6.6560894472,4.1092098079,0
4.0457550984,9.7535185489,1
4.9072563219,5.1883211821,0
8.0279574015,9.2116060813,1
6.6746718569,6.0991394027,1
3.2722833041,4.3307173064,0
6.4039320415,7.8031688020,1
7.2346494226,9.6227592968,1
6.0457885739,7.3094998098,1
5.8840956217,7.5858448313,1
9.9827857797,7.2369251934,1
4.7264269108,8.8475864996,1
5.0458159803,7.5809859530,1
6.0455556293,4.2508409436,0
8.2226661578,4.2719878537,0
8.8913896417,6.9803788898,1
9.4834506724,4.5694306803,1
6.7319257469,6.6589353177,1
5.7238706316,5.9514281980,1
8.0366756002,9.0960147897,1
6.8468521786,8.5594307105,1
4.2075454538,7.8844786001,0
7.5477702005,9.0424538998,1
7.8635424349,9.6647427169,1
5.2348003988,6.0769505256,0
9.4094331125,7.7159105091,1
9.0448550971,8.7508791765,1
5.5482161141,3.5570703472,0
7.4492692418,8.4845136849,1
8.9845806707,4.5358283611,1
8.3489162745,4.8380285797,1
4.2261700810,8.7103850940,1
9.9315008805,6.8775409472,1
5.5340017560,6.4931938007,1
7.4775893001,8.9529812895,1
